date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:56	20176/20176	---M--	200	added ('OK')	image/webp	date:Fri,%2028%20Feb%202025%2023:58:49%20GMT	https://www.amazonebookpublishers.co/images/tab-sec-book.webp	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/tab-sec-book.webp	(from https://www.amazonebookpublishers.co/)
21:12:56	997/997	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:25%20GMT	https://www.amazonebookpublishers.co/images/inner-arrow.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/inner-arrow.png	(from https://www.amazonebookpublishers.co/)
21:12:57	2299/2299	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:26%20GMT	https://www.amazonebookpublishers.co/images/line.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/line.png	(from https://www.amazonebookpublishers.co/)
21:12:57	3406/3406	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:04%20GMT	https://www.amazonebookpublishers.co/images/client-03.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/client-03.png	(from https://www.amazonebookpublishers.co/)
21:12:57	7044/7044	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:03%20GMT	https://www.amazonebookpublishers.co/images/client-01.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/client-01.png	(from https://www.amazonebookpublishers.co/)
21:12:58	5918/5918	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:05%20GMT	https://www.amazonebookpublishers.co/images/client-07.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/client-07.png	(from https://www.amazonebookpublishers.co/)
21:12:58	9948/9948	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:04%20GMT	https://www.amazonebookpublishers.co/images/client-04.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/client-04.png	(from https://www.amazonebookpublishers.co/)
21:12:58	9008/9008	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:04%20GMT	https://www.amazonebookpublishers.co/images/client-05.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/client-05.png	(from https://www.amazonebookpublishers.co/)
21:12:59	7194/7194	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:05%20GMT	https://www.amazonebookpublishers.co/images/client-09.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/client-09.png	(from https://www.amazonebookpublishers.co/)
21:12:59	6028/6028	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:05%20GMT	https://www.amazonebookpublishers.co/images/client-08.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/client-08.png	(from https://www.amazonebookpublishers.co/)
21:12:59	7039/7039	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:06%20GMT	https://www.amazonebookpublishers.co/images/client-10.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/client-10.png	(from https://www.amazonebookpublishers.co/)
21:13:00	4039/4039	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:03%20GMT	https://www.amazonebookpublishers.co/images/client-02.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/client-02.png	(from https://www.amazonebookpublishers.co/)
